experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
21,fingerprint_concat,2,af_review,20,21,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",28.64,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
22,fingerprint_concat,2,af_review,21,22,gp,matern52,ts,gp/matern52/ts,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0.07,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
23,fingerprint_concat,2,af_review,22,23,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=90}",57.27,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
24,fingerprint_concat,2,af_review,23,24,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",7.26,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
25,fingerprint_concat,2,af_review,24,25,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",4.74,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
26,fingerprint_concat,2,af_review,25,26,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=120}",82.09,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
27,fingerprint_concat,2,af_review,26,27,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",28.15,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
28,fingerprint_concat,2,af_review,27,28,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",76.59,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
29,fingerprint_concat,2,af_review,28,29,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",84.67,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
30,fingerprint_concat,2,af_review,29,30,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
31,fingerprint_concat,2,af_review,30,31,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",10.44,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
32,fingerprint_concat,2,af_review,31,32,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",63.13,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
33,fingerprint_concat,2,af_review,32,33,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
34,fingerprint_concat,2,af_review,33,34,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",29.31,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
35,fingerprint_concat,2,af_review,34,35,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",12.83,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
36,fingerprint_concat,2,af_review,35,36,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",62.82,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
37,fingerprint_concat,2,af_review,36,37,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",87.83,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
38,fingerprint_concat,2,af_review,37,38,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
39,fingerprint_concat,2,af_review,38,39,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
40,fingerprint_concat,2,af_review,39,40,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",7.62,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
